name,species,breed,age,energyLevel,specialNeeds,daysInShelter,urgencyScore,isVaccinated,isNeutered,goodWithKids,goodWithDogs,goodWithCats,experienceRequired
Biscuit,Dog,Labrador,3,High,None,45,8,true,true,true,true,false,Beginner
Shadow,Cat,Domestic Shorthair,5,Low,Asthma,62,9,true,true,false,false,true,Intermediate
Mango,Dog,Chihuahua,2,Medium,None,12,4,true,true,false,false,false,Beginner
Luna,Cat,Maine Coon,4,Medium,None,30,6,true,true,true,false,true,Beginner
Rex,Dog,German Shepherd,6,High,Anxiety,90,10,true,true,false,false,false,Experienced
Pebbles,Rabbit,Holland Lop,1,Low,None,8,3,true,false,true,false,false,Beginner
Noodle,Cat,Siamese,3,High,None,22,5,true,true,false,false,true,Intermediate
Bear,Dog,Golden Retriever,5,High,Hip Dysplasia,55,8,true,true,true,true,false,Intermediate
Cleo,Cat,Persian,7,Low,Kidney Disease,78,10,true,true,true,false,true,Experienced
Ziggy,Dog,Beagle,2,High,None,15,4,true,true,true,true,false,Beginner
Willow,Dog,Border Collie,4,High,None,40,7,true,true,false,true,false,Intermediate
Finn,Cat,Tabby,1,High,None,5,2,false,false,true,false,true,Beginner
Rosie,Dog,Pug,3,Low,Breathing Issues,50,8,true,true,true,false,false,Intermediate
Ace,Dog,Pit Bull Mix,5,High,Anxiety,85,10,true,true,false,false,false,Experienced
Daisy,Cat,Calico,2,Medium,None,18,4,true,true,true,false,true,Beginner
Oreo,Dog,Dalmatian,1,High,None,10,3,true,false,true,true,false,Intermediate
Maple,Rabbit,Flemish Giant,2,Low,None,25,5,true,false,true,false,false,Beginner
Titan,Dog,Rottweiler,4,High,None,60,9,true,true,false,false,false,Experienced
Pearl,Cat,Russian Blue,6,Low,Diabetes,95,10,true,true,true,false,true,Experienced
Chip,Dog,Dachshund,3,Medium,Back Problems,35,7,true,true,true,false,false,Intermediate
Hazel,Dog,Cocker Spaniel,2,Medium,None,20,4,true,true,true,true,false,Beginner
Smoky,Cat,British Shorthair,5,Low,None,42,7,true,true,true,false,true,Beginner
Bolt,Dog,Whippet,3,High,None,14,4,true,true,false,true,false,Intermediate
Fern,Rabbit,Mini Rex,1,Low,None,7,2,true,false,true,false,false,Beginner
Coco,Dog,Poodle,4,Medium,None,28,6,true,true,true,false,true,Beginner
Jasper,Cat,Bengal,2,High,None,16,4,true,false,false,false,false,Intermediate
Stella,Dog,Australian Shepherd,3,High,None,38,7,true,true,false,true,false,Intermediate
Mocha,Cat,Ragdoll,5,Low,None,52,8,true,true,true,false,true,Beginner
Bruno,Dog,Basset Hound,6,Low,Ear Infections,70,9,true,true,true,false,false,Intermediate
Ivy,Cat,Tortoiseshell,3,Medium,None,22,5,true,true,true,false,true,Beginner
Zeus,Dog,Husky,4,High,Escape Artist,80,10,true,true,false,true,false,Experienced
\
